Mumbai,11/3/2015,Poor
Ahmedabad,12/3/2015,Poor
Bengaluru,12/3/2015,Poor
Chennai,12/3/2015,Poor
Delhi,12/3/2015,Very Poor
Hyderabad,12/3/2015,Very Poor
Lucknow,12/3/2015,Very Poor
Mumbai,12/3/2015,Very Poor
Ahmedabad,13-03-2015,Poor
Bengaluru,13-03-2015,Poor
Chennai,13-03-2015,Poor
Delhi,13-03-2015,Very Poor
Hyderabad,13-03-2015,Very Poor
Lucknow,13-03-2015,Very Poor
Mumbai,13-03-2015,Very Poor
Ahmedabad,14-03-2015,Poor
Bengaluru,14-03-2015,Poor
Chennai,14-03-2015,Poor
Delhi,14-03-2015,Poor
Hyderabad,14-03-2015,Poor
Lucknow,14-03-2015,Poor
Mumbai,14-03-2015,Poor
Ahmedabad,15-03-2015,Poor
Bengaluru,15-03-2015,Poor
Chennai,15-03-2015,Poor
Delhi,15-03-2015,Moderate
Hyderabad,15-03-2015,Moderate
Lucknow,15-03-2015,Moderate
Mumbai,15-03-2015,Moderate
Ahmedabad,16-03-2015,Moderate
Bengaluru,16-03-2015,Moderate
Chennai,16-03-2015,Moderate
Delhi,16-03-2015,Moderate
Hyderabad,16-03-2015,Moderate
Lucknow,16-03-2015,Moderate
Mumbai,16-03-2015,Moderate
Ahmedabad,17-03-2015,Poor
Bengaluru,17-03-2015,Poor
Chennai,17-03-2015,Poor
Delhi,17-03-2015,Poor
Hyderabad,17-03-2015,Poor
Lucknow,17-03-2015,Poor
Mumbai,17-03-2015,Poor
Ahmedabad,18-03-2015,Poor
Bengaluru,18-03-2015,Poor
Chennai,18-03-2015,Poor
Delhi,18-03-2015,Moderate
Hyderabad,18-03-2015,Moderate
Lucknow,18-03-2015,Moderate
Mumbai,18-03-2015,Moderate
Ahmedabad,19-03-2015,Severe
Bengaluru,19-03-2015,Severe
Chennai,19-03-2015,Severe
Delhi,19-03-2015,Poor
Hyderabad,19-03-2015,Poor
Lucknow,19-03-2015,Poor
Mumbai,19-03-2015,Poor
Ahmedabad,20-03-2015,Severe
Bengaluru,20-03-2015,Severe
Chennai,20-03-2015,Severe
Delhi,20-03-2015,Poor
Hyderabad,20-03-2015,Poor
Lucknow,20-03-2015,Poor
Mumbai,20-03-2015,Poor
Ahmedabad,21-03-2015,Severe
Bengaluru,21-03-2015,Satisfactory
Chennai,21-03-2015,Satisfactory
Delhi,21-03-2015,Poor
Hyderabad,21-03-2015,Poor
Lucknow,21-03-2015,Severe
Mumbai,21-03-2015,Severe
Ahmedabad,22-03-2015,Severe
Bengaluru,22-03-2015,Moderate
Chennai,22-03-2015,Moderate
Delhi,22-03-2015,Poor
Hyderabad,22-03-2015,Poor
Lucknow,22-03-2015,Severe
Mumbai,22-03-2015,Severe
Ahmedabad,23-03-2015,Severe
Bengaluru,23-03-2015,Moderate
Chennai,23-03-2015,Moderate
Delhi,23-03-2015,Poor
Hyderabad,23-03-2015,Poor
Lucknow,23-03-2015,Severe
Mumbai,23-03-2015,Severe
Ahmedabad,24-03-2015,Severe
Bengaluru,24-03-2015,Moderate
Chennai,24-03-2015,Very Poor
Delhi,24-03-2015,Poor
Hyderabad,24-03-2015,Poor
Lucknow,24-03-2015,Moderate
Mumbai,24-03-2015,Moderate
Ahmedabad,25-03-2015,Severe
Bengaluru,25-03-2015,Poor
Chennai,25-03-2015,Poor
Delhi,25-03-2015,Very Poor
Hyderabad,25-03-2015,Very Poor
Lucknow,25-03-2015,Moderate
Mumbai,25-03-2015,Moderate
Ahmedabad,26-03-2015,Severe
Bengaluru,26-03-2015,Moderate
Chennai,26-03-2015,Very Poor
Delhi,26-03-2015,Very Poor
Hyderabad,26-03-2015,Very Poor
Lucknow,26-03-2015,Moderate
Mumbai,26-03-2015,Moderate
Ahmedabad,27-03-2015,Severe
Bengaluru,27-03-2015,Moderate
Chennai,27-03-2015,Severe
Delhi,27-03-2015,Poor
Hyderabad,27-03-2015,Poor
Lucknow,27-03-2015,Moderate
Mumbai,27-03-2015,Moderate
Ahmedabad,28-03-2015,Very Poor
Bengaluru,28-03-2015,Moderate
Chennai,28-03-2015,Severe
Delhi,28-03-2015,Very Poor
Hyderabad,28-03-2015,Very Poor
Lucknow,28-03-2015,Moderate
Mumbai,28-03-2015,Moderate
Ahmedabad,29-03-2015,Very Poor
Bengaluru,29-03-2015,Moderate
Chennai,29-03-2015,Moderate
Delhi,29-03-2015,Very Poor
Hyderabad,29-03-2015,Very Poor
Lucknow,29-03-2015,Moderate
Mumbai,29-03-2015,Moderate
Ahmedabad,30-03-2015,Very Poor
Bengaluru,30-03-2015,Satisfactory
Chennai,30-03-2015,Satisfactory
Delhi,30-03-2015,Poor
Hyderabad,30-03-2015,Poor
Lucknow,30-03-2015,Moderate
Mumbai,30-03-2015,Moderate
Ahmedabad,31-03-2015,Very Poor
Bengaluru,31-03-2015,Satisfactory
Chennai,31-03-2015,Very Poor
Delhi,31-03-2015,Poor
Hyderabad,31-03-2015,Moderate
Lucknow,31-03-2015,Moderate
Mumbai,31-03-2015,Moderate
Ahmedabad,1/4/2015,Very Poor
Bengaluru,1/4/2015,Moderate
Chennai,1/4/2015,Poor
Delhi,1/4/2015,Very Poor
Hyderabad,1/4/2015,Moderate
Lucknow,1/4/2015,Moderate
Mumbai,1/4/2015,Moderate
Ahmedabad,2/4/2015,Poor
Bengaluru,2/4/2015,Moderate
Chennai,2/4/2015,Poor
Delhi,2/4/2015,Poor
Hyderabad,2/4/2015,Poor
Lucknow,2/4/2015,Moderate
Mumbai,2/4/2015,Moderate
Ahmedabad,3/4/2015,Moderate
Bengaluru,3/4/2015,Moderate
Chennai,3/4/2015,Poor
Delhi,3/4/2015,Poor
Hyderabad,3/4/2015,Poor
Lucknow,3/4/2015,Moderate
Mumbai,3/4/2015,Moderate
Ahmedabad,4/4/2015,Poor
Bengaluru,4/4/2015,Moderate
Chennai,4/4/2015,Moderate
Delhi,4/4/2015,Poor
Hyderabad,4/4/2015,Poor
Lucknow,4/4/2015,Moderate
Mumbai,4/4/2015,Moderate
Ahmedabad,5/4/2015,Moderate
Bengaluru,5/4/2015,Moderate
Chennai,5/4/2015,Very Poor
Delhi,5/4/2015,Poor
Hyderabad,5/4/2015,Poor
Lucknow,5/4/2015,Moderate
Mumbai,5/4/2015,Moderate
Ahmedabad,6/4/2015,Very Poor
Bengaluru,6/4/2015,Satisfactory
Chennai,6/4/2015,Moderate
Delhi,6/4/2015,Very Poor
Hyderabad,6/4/2015,Moderate
Lucknow,6/4/2015,Moderate
Mumbai,6/4/2015,Moderate
Ahmedabad,7/4/2015,Very Poor
Bengaluru,7/4/2015,Satisfactory
Chennai,7/4/2015,Moderate
Delhi,7/4/2015,Poor
Hyderabad,7/4/2015,Moderate
Lucknow,7/4/2015,Moderate
Mumbai,7/4/2015,Moderate
Ahmedabad,8/4/2015,Very Poor
Bengaluru,8/4/2015,Moderate
Chennai,8/4/2015,Moderate
Delhi,8/4/2015,Very Poor
Hyderabad,8/4/2015,Moderate
Lucknow,8/4/2015,Moderate
Mumbai,8/4/2015,Moderate
Ahmedabad,9/4/2015,Severe
Bengaluru,9/4/2015,Satisfactory
Chennai,9/4/2015,Poor
Delhi,9/4/2015,Poor
Hyderabad,9/4/2015,Moderate
Lucknow,9/4/2015,Moderate
Mumbai,9/4/2015,Moderate
Ahmedabad,10/4/2015,Moderate
Bengaluru,10/4/2015,Moderate
Chennai,10/4/2015,Moderate
Delhi,10/4/2015,Poor
Hyderabad,10/4/2015,Moderate
Lucknow,10/4/2015,Moderate
Mumbai,10/4/2015,Moderate
Ahmedabad,11/4/2015,Moderate
Bengaluru,11/4/2015,Moderate
Chennai,11/4/2015,Moderate
Delhi,11/4/2015,Very Poor
Hyderabad,11/4/2015,Moderate
Lucknow,11/4/2015,Moderate
Mumbai,11/4/2015,Moderate
Ahmedabad,12/4/2015,Moderate
Bengaluru,12/4/2015,Moderate
Chennai,12/4/2015,Moderate
Delhi,12/4/2015,Poor
Hyderabad,12/4/2015,Moderate
Lucknow,12/4/2015,Moderate
Mumbai,12/4/2015,Moderate
Ahmedabad,13-04-2015,Poor
Bengaluru,13-04-2015,Satisfactory
Chennai,13-04-2015,Poor
Delhi,13-04-2015,Poor
